Unsecured_BIN,Unsecured_BIN_LOWER_BOUND,Unsecured_BIN_STEP,COUNT
19,899972.2000000001,49998.4,129
7,299991.4,49998.4,4394
6,249993,49998.4,7330
9,399988.2,49998.4,1427
17,799975.4,49998.4,206
5,199994.6,49998.4,7785
1,1,49998.4,103744
10,449986.60000000003,49998.4,1010
3,99997.8,49998.4,16405
12,549983.4,49998.4,551
8,349989.8,49998.4,1938
11,499985,49998.4,791
2,49999.4,49998.4,30737
4,149996.2,49998.4,11120
13,599981.8,49998.4,486
18,849973.8,49998.4,137
14,649980.2000000001,49998.4,296
15,699978.6,49998.4,229
20,949970.6,49998.4,181
16,749977,49998.4,209